broadcast_player_id,tacticam_player_id,broadcast_trajectory_length,tacticam_trajectory_length,mapping_confidence
1,6,3,23,0.8948593389370707
7,8,21,117,0.8836818690437489
8,48,87,96,0.9032737902760606
9,4,13,84,0.832981642741464
10,17,60,101,0.8152774335052141
11,13,3,30,0.9671633717026006
12,29,42,4,0.7358058295012172
13,16,37,122,0.8312784482216274
14,5,20,73,0.96975796591836
15,3,17,78,0.8578699024951852
16,46,68,33,0.8985149136323866
17,36,33,3,0.8380036078365941
18,21,9,76,0.825901842518063
20,12,3,91,0.9043033313831369
21,35,39,73,0.883142064327377
22,11,12,73,0.8792845665200685
23,7,5,200,0.9676136164537366
24,32,16,154,0.8973019647378957
26,33,26,3,0.8178175054411843
27,2,14,110,0.8644914099169594
28,19,7,55,0.797061298145283
30,49,101,4,0.8834103831750243
31,92,101,9,0.9349187408921142
33,14,6,69,0.8466393348135504
34,1,7,89,0.9469025113579139
36,20,18,78,0.8154778930413035
41,64,90,29,0.8420202571927528
42,10,12,157,0.9109046928630028
43,39,25,6,0.8530349380849704
45,15,23,83,0.8048498404963723
47,47,78,10,0.9181576175538462
48,42,6,9,0.8042458483686246
50,45,17,13,0.7908127974223083
51,18,38,59,0.9565548658727495
52,62,34,6,0.8693460771133402
54,44,3,53,0.9520280072061834
58,95,60,3,0.9062839092537339
59,9,4,105,0.9155514421689408
60,43,7,15,0.8590844557380817
62,87,45,35,0.8638646331590816
63,59,57,5,0.8511803238226308
64,51,20,4,0.9413027306597282
65,70,55,69,0.874124140736406
68,69,10,96,0.8491855351443699
69,88,36,89,0.9011511542963583
70,55,4,21,0.8343707608010787
71,60,12,10,0.8906726420414723
73,56,3,58,0.9608801342141849
76,83,7,67,0.8481403763451499
81,67,14,25,0.8348197340969828
82,99,12,6,0.8399415479899633
90,73,3,61,0.9491974394332289
